,plate,mjd,fiberid,class,subclass,z,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,oi_6300_flux,sii_6717_flux,sii_6731_flux,h_alpha_eqw,nii_6584_eqw
5179,537,52027,466,b'GALAXY',b'STARFORMING',0.04672931,233.3465,64.38986,59.49569,55.75023,9.19676,48.38329,37.48136,-29.61313,-6.294016
5180,537,52027,480,b'GALAXY',b'STARBURST',0.02646713,1927.946,408.8785,172.4282,678.472,29.33432,258.5787,182.7942,-106.3738,-37.77385
5181,537,52027,610,b'GALAXY',b'STARFORMING',0.03432472,516.3429,125.6051,44.66934,189.8625,16.03821,91.0111,67.82258,-20.79348,-7.579732
5182,538,52029,298,b'GALAXY',b'',0.1123902,123.8156,25.32464,31.64377,100.183,18.67488,50.8482,38.25483,-11.77922,-10.66892
5183,538,52029,316,b'GALAXY',b'STARFORMING',0.04455803,1054.015,235.049,43.16249,593.585,24.20742,148.3059,134.0314,-36.22954,-20.14951
5184,538,52029,431,b'GALAXY',b'STARFORMING',0.09780544,260.5816,38.16528,31.81027,172.2411,20.16194,63.38568,43.49201,-21.5118,-14.12188
5185,539,52017,156,b'GALAXY',b'AGN',0.1278763,205.9587,41.75475,181.2369,290.8933,30.56418,63.02603,57.66537,-11.17396,-13.93937
5186,539,52017,552,b'QSO',b'AGN BROADLINE',0.1827677,820.4946,118.7833,968.4025,1072.872,63.47699,151.435,128.4044,-34.59747,-36.05899
5187,540,51996,383,b'GALAXY',b'STARBURST',0.02941404,490.3472,149.3558,292.0313,57.76501,15.43419,79.22825,63.79303,-48.01203,-5.634553
5188,542,51993,270,b'GALAXY',b'AGN BROADLINE',0.1499273,596.512,147.7447,1281.958,419.524,74.4751,162.6,150.7693,-54.59523,-35.98283
5189,542,51993,462,b'GALAXY',b'STARFORMING',0.06348983,194.0721,44.93488,22.05439,57.14997,6.138421,41.48952,26.7368,-19.50949,-5.680342
5190,542,51993,615,b'GALAXY',b'AGN',0.1067363,275.9691,50.74879,123.8124,232.2581,27.15499,70.0561,60.43594,-16.25733,-13.36423
5191,544,52201,177,b'GALAXY',b'STARFORMING',0.06045182,655.3602,98.14756,38.74739,397.9119,21.76211,107.1444,91.51452,-26.65706,-16.17516
5192,544,52201,363,b'GALAXY',b'STARBURST',0.06642956,618.8137,182.738,514.5383,78.50428,18.69477,85.8157,63.06386,-121.08,-15.92076
5193,544,52201,442,b'GALAXY',b'STARFORMING',0.02808905,714.0416,157.4571,59.25529,226.7622,24.52928,152.2679,107.894,-25.18824,-7.817552
5194,545,52202,386,b'GALAXY',b'STARFORMING',0.04268015,1274.742,218.0925,59.00982,789.5497,44.23427,154.8569,117.3122,-23.72067,-14.33624
5195,545,52202,444,b'GALAXY',b'STARFORMING',0.03889658,490.9571,102.1916,71.36488,246.483,14.88024,83.14278,69.21356,-30.08364,-14.74708
5196,545,52202,631,b'GALAXY',b'STARFORMING',0.0366008,420.625,129.8717,136.3834,100.6994,15.53735,86.84365,66.11965,-44.1512,-10.98979
5197,546,52205,72,b'GALAXY',b'STARBURST',0.04371947,395.4213,119.4007,144.1066,75.33127,11.34396,79.27193,57.29687,-67.56235,-16.09708
